ID,Name,Documentation URL,Source,Notes,Comments - Ivano,Comments - Federico
T1,MagicDraw,https://docs.nomagic.com/display/MD190/Collaborative+modeling,S1,Fully-fledged modeling environment with support for collaboration,,
T2,IBM Rational Software Architect,https://www.ibm.com/docs/en/rational-soft-arch/9.7.0,S1,Focus on software architectures and designs,,
T3,4everedit,https://wwwbroy.in.tum.de/publ/papers/mrs06edit.pdf,S1,"It is a research product, not a maintained tool",, 
T4,Odyssey-VCS,https://dl.acm.org/doi/10.1145/1109128.1109129,S1,"It is a research product, not a maintained  tool",,
T5,CoObRA (based on Fujaba),https://digital-library.theiet.org/content/conferences/10.1049/ic_20040206,S1,"It is a research product, not a maintained  tool",,
T6,Eclipse EMF,https://www.eclipse.org/modeling/emf/docs/,S1,Language workbench (for sure out of scope),,
T7,Eclipse GEF,https://github.com/eclipse/gef/wiki,S1,EMF-based graphical framework (for sure out of scope),,
T8,Flexisketch,https://www.ifi.uzh.ch/en/rerg/research/flexiblemodeling/flexisketch.html ,S2,Model-based sketching,,
T9,Electronic cocktail Napkin,http://mdgross.net/portfolio/electronic-cocktail-napkin/,S2,http://papers.cumincad.org/data/works/att/08af.content.pdf,,
T10,Calico,https://github.com/excalidraw/excalidraw,S2,,,
T11,Rosetta,https://new.rosettacommons.org/docs/latest/Home,S3,Tool to design UML,,
T12,Cedar studio,NOT FOUND,S4,,,
T13,MASP,https://www.w3.org/2005/Incubator/model-based-ui/XGR-mbui-20100504/,S4,Model based UI tool,,
T14,Leonardi,https://marketplace.eclipse.org/content/leonardi-rad-solution-business-apps,S4,Graphical design tool (Possibility of being out of scope),,
T15,GrafiXML,NOT FOUND,S4,Graphical tool design user interface,,
T16,UsiComp,http://iihm.imag.fr/en/demo/,S4,Allow to create models,,
T17,WebRatio,https://my.webratio.com/learn/content?nav=65&link=oln208a.redirect&so=pcu1a,S4,Web-app modelling,,
T18,Xplain,NOTFOUND,S4,,,
T19,ModelBus,https://www.modelbus.org/en/modelbusdocumentation.html,S5,"Model driven, allows collaboration",,
T20,Modelware,https://cordis.europa.eu/article/id/97188-modelware-a-new-approach-to-modeldriven-development,S5,,,
T21,Lotus Notes,https://www.ibm.com/docs/en/notes/8.5.3?topic=help-welcome-lotus-notes,S6,IBM collaboration,,Owned now by our friend at HCL :)
T22,xoProcessWiki,,S6,,,
T23,GenMyModel,https://help.genmymodel.com/en/support/home,S7,"Online modelling tool, allows collaboration",,
T24,Protege,https://protege.stanford.edu/support.php,S8,Ontology editor(Seems out of scope),,
T25,TopBriad,https://www.w3.org/wiki/TopBraid,S8,RDF schema and ontology editor(The website is discontinued),,
T26,Objecteering Teamwork,https://www.modeliosoft.com/en/,S8,Part of modelio,,
T27,CAMEL,https://camel-dsl.org/documentation/,S9,The Cloud Application Modelling and Execution Language,,
T28,Papyrus,https://www.eclipse.org/papyrus/documentation.html,S9,Modelling environment,,
T29,NetMeeting,Discontinued by microsoft,S9,VoIP and multi-point videoconferencing tool,,no modelling
T30,SLIM,https://github.com/MesserLab/SLiM,S10,evolutionary simulation framework(might be out of scope),,no modelling
T31,SourceForge,,S10,,,no modelling
T32,CodeBeamer,https://codebeamer.com/cb/wiki/2732969,S10,Collaborative application lifecycle management,,
T33,Poseidon,https://www.poseidon-project.org/understanding-the-poseidon-development-framework/,S10,Used for prototype design,,
T34,WebEx,https://www.webex.com/,S10,Renowned video conferencing app by cisco,,no modelling
T35,Adobe connect,https://www.adobe.com/products/adobeconnect/resource-hub-main.html,S10,collaborative virtual sessions,,no modelling
T36,GEMSjax,NOT found,S11,Graphical modelling view for the Eclipse modeling framework,,no modelling
T37,Generic eclipse modelling system,,S11,,,
T38,SLIM,,S11,,,
T39,COMA,https://breibakk.no/coma/index.htm,S11,Model based security analysis,,
T40,Blue Age,https://www.omg.org/mda/mda_files/Blu_Age_datasheet_en.pdf,S11,Agile model driven development,,
T41,Metaedit+,https://www.metacase.com/support/,S12,Domain specific modelling,,
T42,metaCASE,https://www.metacase.com/support/,S12,,,"out of scope (the tool is in T42, this is the company)"
T43,CSCW tools,https://github.com/maryi/CSCW-Project/blob/master/Project%20report/ReportDocument.md,S12,,,
T44,WebGME,https://github.com/webgme/webgme/wiki,S13,"DSML based, allow collaboration",,
T45,MIC toolsuite,https://www.isis.vanderbilt.edu/research/MIC,S13,Model integrated computing,,
T46,CAMEL,,S13,,,
T47,AtoMPM,https://atompm.github.io/#media,S13,"DSML based,",,
T48,AMOR,https://managementmodellensite.nl/amor-model/,S13,,,
T49,Lucid charts,https://lucidchart.zendesk.com/hc/en-us/categories/360001743232-Using-Lucidchart,S13,"Popular modelling framework,enables collaboration",,
T50,CircuitLab,https://ultimateelectronicsbook.com/,S13,,,
T51,Webratio tool,https://my.webratio.com/learn/content?nav=65&link=oln208a.redirect&so=pcu1a,S14,,,
T52,WEKMU,https://www.researchgate.net/publication/262242359_Distributed_Collaborative_Modeling_Support_System_for_UML_diagrams,S15,Research paper,,
T53,ArgoUML,https://argouml-tigris-org.github.io/tigris/argouml/,S15,,,
T54,Poseidon,https://carrknight.github.io/poseidon/tutorial/basic-model-operation.html,S15,,,
T55,Rational Rose,https://www.ibm.com/mysupport/s/topic/0TO50000000IVnyGAG/rational-rose?language=en_US,S15,,,
T56,Atom,https://atom.io/docs,S16,,,
T57,DSL Tools,,S16,,,
T58,EMF,,S16,,,
T59,GME,,S16,,,
T60,Metaedit+,,S16,"Kelly, S., Lyytinen, K., Rossi, M.: MetaEdit+ A fully configurable multi-user and multi- tool CASE and CAME environment. In: Conference on Advanced Information Systems Engineering. Volume 1080 of LNCS., Crete, Springer-Verlag (may 1996) 1–21",,
T61,VMTS,,S16,,,
T62,ATL,,S16,EMF Plugin framework based,,no collaboration
T63,Epsilon,,S16,EMF Plugin framework based,,no collaboration
T64,Xtext,,S16,EMF Plugin framework based,,no collaboration
T65,VIATRA,,S16,EMF Plugin framework based,,
T66,AtomPM,,S16,Paper introduces this tool (Successor to atom),,
T67,Modelshare,,S16,,,
T68,SCXML,,S16,,,
T69,EOL,,S16,"Kolovos, D., Paige, R., Polack, F.: The Epsilon Object Language (EOL). In: ECMDA-FA’06. Volume 4066 of LNCS., Springer (2006) 128–142",,out of scope (language)
T70,Codesign,,S17,Software modelling framework,,
T71,FASTDash,,S17,,,
T72,CAMEL,,S17,,,
T73,GME,https://www.isis.vanderbilt.edu/Projects/gme,S17,,,
T74,Drool,https://www.drools.org/,S17,,,
T75,Jess,http://www.jessrules.com/,S17,Rule engine,,
T76,CE4WEB,,S18,Cooperative case tool,,
T77,CO2DE,,S18,,,
T78,PoseidonUML,,S18,,,
T79,Konesa,,S18,,,
T80,CO2DE,,S18,,,
T81,Tatami,,S18,,,
T82,Quill,,S19,Collaborative model based,,
T83,MBUI,,S19,An environment,,
T84,Gummy,,S19,,,
T85,MAQETTA,,S19,,,
T86,ArgoUML,,S19,,,
T87,Dia,,S19,,,
T88,Visio,,S19,,,
T89,Visual Paradigm,,S19,,,
T90,Balsamiq,,S19,,,
T91,Justinmind,,S19,,,
T92,Sketchflow,,S19,,,
T93,Assisi Gui Designer,,S19,"Aquino, N., Vanderdonckt, J., Panach, I., and Pastor, O. Conceptual Modelling of Interaction. In Handbook of Conceptual Modelling: Theory, Practice, and Research Challenges, Embley, D. Thalheim,",,
T94,SYSIPHUS,,S20,"a distributed environment providing a uniform framework for system models, collaboration artifacts, and organizational models.",,
T95,RAT,,S20,"rich client, provides a graphical user interface for creating models and diagrams,",,
T96,IBM Rational XDE,,S20,Case tool,,
T97,togetherJ,,S20,,,
T98,REQuest,,S20,,,
T99,EasyWinWin,,S20,,,
T100,ADAMS,,S20,,,
T101,IBIS,,S20,,,
T102,HyperCode,,S20,,,
T103,Unicase,,S21,,,
T104,IBM rationale Software architect,,S21,,,
T105,IBM requisitepro,,S21,,,
T106,Telelogic doors,,S21,,,requirements engineering
T107,Borland Caliber,,S21,,,
T108,Microsoft team foundation Server,,S21,,,no modelling
T109,IBM Jazz,,S21,,,
T110,SEURAT,Research prototype,S21,,,
T111,Meta case,,S21,,,
T112,Moflon,,S21,,,out of scope (language)
T113,ECORE,MOF,S21,,,
T114,Teneo,Object relational database mapping,S21,,,
T115,EMF store,,S21,,,out of scope
T116,OMG,Unified modelling langgauge specification version,S21,,,out of scope
T117,ADAMS Re-trace,,S21,"A. Lucia, R. Oliveto, G. Tortora, ADAMS Re-Trace: Traceability Link Recovery via Latent Semantic Indexing, In Proceedings of International Conference on Software Engineering, p. 839 ff, May 2008, Leipzig",,
T118,S22 Proposes newarchitecture like git,,,,,
T119,AMOR,Like GIT VCS,S22,,,
T120,This paper proposes a framework for synchronous and asynchronous concurrent and collaborative modeling.,,S23,,,
T121,DISCOM,,S23,,,
T122,CellML Model Repositories Project.,,S23,,,
T123,ACM,,S23,"R. Paige, P. Brooke, and J. Ostroff. Metamodel-based model conformance and multiview consistency checking. ACM Trans. Softw. Eng. Methodol., 2007.",,out of scope
T124,CoMBM,Collaborative business modelling,S24,,,
T125,DiCoMEF.,Distributed collaborative modelling system,S24,,,
T126,CAISE: proposed an architecture,,S25,,,out of scope
T127,GroupCRC,,S25,,,
T128,Libra-on-Chat,,S26,"distributed synchronous collaborative modeling support system for UML diagrams,",,
T129,D-UML,,S26,,,
T130,JSDT,,S26,Java Shared Data toolkit,,
T131,D-Meeting,,S26,,,no modelling
T132,GroupUML,Presented a prototype activity-based model,S27,,,
T133,Teamspace,,S27,,,
T134,Flecse,,S27,,,
T135,CASCADE,,S27,,,
T136,CEDTS,,S27,,,
T137,OOWB,,S27,,,
T138,CoConut,,S27,,,
T139,CSCW,A technique (computer Supported cooperative work),S27,,,
T140,GroupUML,,S27,,,
T141,EMF store,,S28,,,out of scope
T142,Skype,,S28,,,no modelling
T143,Google drive,Provides real time API,S28,,,no modelling
T144,Apple’s iWork,,S28,,,no modelling
T145,Mircosoft office 365,,S28,,,
T146,Dropbox,,S28,,,no modelling
T147,Firebase,,S28,,,
T148,Splash,,S28,"Maximilian Koegel, Helmut Naughton, Jonas Helming, and Markus Herrmannsdoerfer. Collaborative model merging. In Proceedings of SPLASH,",,
T149,ArgoUML,,S29,,,
T150,CoArgoUML,,S29,,,
T151,GroupKit,,S29,,,
T152,Coast,,S29,,,
T153,MAUI,,S29,,,
T154,Microsoft Netmeeting,,S29,,,no modelling
T155,Sun Forum,,S29,,,no modelling
T156,SharedX,,S29,,,no modelling
T157,JAMM,Java Applets Made Multi-user,S29,,,no modelling
T158,GEF,Graphic edited framework,S29,,,
T159,ARIS-EPC,Language,S30,,,
T160,FMC-Petri nets,Language,S30,,,
T161,UML,Language,S30,,,
T162,DEMO,Language,S30,,,
T163,COMA,Main content,S30,,,
T164,BPM,"BPMN Diagram: usiness Process Modeling Notation,",S31,,,
T165,Netsketcher,,S31,,,
T166,BigAgi,,S31,,,
T167,Smartdraw,,S31,,,
T168,WfMC,Workflow management coailtion,S31,,,
T169,Collect-UML,,S32,,,
T170,EPSILON,,S32,,"This is like AMMA, it's a family of technologies.",out of scope
T171,SHERLOCK 2,,S32,,,
T172,LeCS,,S32,,,
T173,COLER,socio-cognitive conflict theory,S32,,,
T174,WETAS,,S32,,,
T175,AllegroServe,a Web application server.,S32,,,
T176,NORMIT,a Web-enabled tutor for database normalization. I,S32,,,
T177,metaCase,,S33,,,see previous
T178,Atom3,,S33,,,
T179,MetaDone,,S33,,,
T180,Metaedit+,,S33,,,
T181,DiCoMEF.,,S33,,,
T182,D-Praxis,,S33,,,
T183,CVS,Version control system,S33,,,
T184,SVN,Version control system,S33,,,
T185,Git,Version control system,S33,,,
