ID,Name,Documentation URL,Sources,Notes,l1,l2,l3,E1,E2,E3,Selected(Yes/No),Downloadable,IsMDE,Rationale,
T1,4everedit,,['S1'],,,,,X,X,,NO,,,,
T2,ACM,,['S23' 'S77'],False Pick,,,,,,,NO,,,,
T3,ADAMS,https://hexagon.com/products/product-groups/computer-aided-engineering-software/adams,"['S20' 'S38' 'S34' 'S70','S21']",,,,,X,,,NO,Yes,No,,"I1) The modeling technology supports collaborative modeling, i.e., it allows multiple stakeholders to manage, collaborate, and be aware of each others’ work on a set of shared models representing key aspects of the same system."
T4,,,,,,,,,,,,,,,I2) The modeling technology is publicly available (either as an open-source or commercial product).
T5,ADEPT2,,['W7'],Research project,,,,X,X,,NO,,,,I3) The documentation of the modeling technology is publicly available.
T6,ADM,https://www.visual-paradigm.com/tutorials/,['W5'],Called as ADM toolset,,X,X,X,,,NO,,,,"E1) The modeling technology does not explicitly address/support collaborative modeling, e.g., Eclipse EMF, MPS, ATL, Epsilon, etc."
T7,ADOxx,https://www.adoxx.org/live/introduction-to-adoxx,['S72' 'S49'],NOT EMF based,,,,,,,YES,,It doesn't support real-time collaboration,,"E2) The modeling technology is not available for download as a binary that can be run on current operating systems from an official website or an affiliated platform supporting it (e.g., a GitHub repository)."
T8,AMENITIES,https://www.researchgate.net/figure/a-AMENITIES-main-concepts-for-task-modelling-b-The-U-CAT-laboratory-Web-interface_fig1_228967171,['W86'],Research project,X,,,,X,,NO,,,,E3) The documentation of the modeling technology is not in English.
T9,AMMA,https://www.researchgate.net/figure/Structure-of-AMMA-a-model-based-framework-for-DSLs_fig5_221321636,['S46'],Research project based on DSL,,,,X,X,,NO,,,,
T10,AMOR,http://www.modelversioning.org/index32bb.html?option=com_content&view=article&id=46&Itemid=54,['S76' 'S69' 'S22' 'S13' 'S46'],VCS,X,X,,X,X,,NO,,NO,,
T11,ARIS,https://www.ariscommunity.com/aris-express/poster,"['S49' 'S44','S30']",,,,,X,X,,NO,,,,
T12,ATL,https://www.eclipse.org/atl/documentation/,['S46' 'S16'],,,X,X,X,,,NO,,,,
T13,ATLAS groups,https://en.wikipedia.org/wiki/ATLAS_Transformation_Language,['W5'],It's not a tool but a transformation langauge,,,,,,,NO,,,,
T14,AWMo,https://link.springer.com/chapter/10.1007/978-3-319-07437-5_11,['W33'],Research project,,,,,,,NO,,,,
T15,AXIOM,https://www.axiomsoftware.eu/en/,['W42'],Not an MDE,,X,,X,X,,NO,,,,
T16,Acceleo,https://www.eclipse.org/acceleo/,['W78' 'W1'],Code generator plugin,,X,X,X,,,NO,,,,
T17,Actifsource,https://www.actifsource.com/tutorials/index.html,['W71'],Domain Specific Development Too,,X,X,X,X,,NO,,,,
T18,Adobe connect,https://www.adobe.com/products/adobeconnect.html,['S10'],"Similar to Zoom, but has collaborative features",X,X,X,,X,X,NO,Can be downloaded on a free trial,NO,,
T19,Agent-DSL,,['W75'],The paper descibed the limitation of DSL- False pick,,,,,,,NO,,,,
T20,ArgoUML,https://argouml-tigris-org.github.io/tigris/argouml/,"['W53','S29' 'S38' 'S15' 'S19']",Modelling tool,X,,,,,,NO,,," It is not an MDE (Model-Driven Engineering) tool in the strict sense, as it does not provide model transformation or code generation capabilities.",
T21,Ajil,https://www.researchgate.net/publication/324784235_AjiL_A_Graphical_Modeling_Language_for_the_Development_of_Microservice_Architectures,['W29'],The research project is still under development. The github link is available though but the binaries aren't available,,,,X,,,NO,,,,
T22,AllegroServe,,['S32'],Not a modelling tool but a webserver,,,,,,,NO,,,,
T23,Altera SoC EDS,https://people.ece.cornell.edu/land/courses/ece5760/DE1_SOC/ug_soc_eds.pdf,['W1'],Embedded software tool,,,,,,,NO,,,,
T24,Amentities,https://www.researchgate.net/figure/a-AMENITIES-main-concepts-for-task-modelling-b-The-U-CAT-laboratory-Web-interface_fig1_228967171,['S39' 'S40'],Research project,,,,,,,NO,,,,
T25,Amulet,https://ieeexplore.ieee.org/document/601073,['S41'],Research project,,,,,,,NO,,,,
T26,AndroMDA,http://www.andromda.org/howto-guides.html,['W46' 'W42'],,X,,,,,,NO,Can be downloaded,Yes,Modelling tool but not collaborative,
T27,Apache CORDOVA,,['W11'],Apache Cordova is a mobile application development framework created by Nitobi- False pick,,,,,,,NO,,,,
T28,Appartition,https://dl.acm.org/doi/10.1145/2702123.2702565,['S52'],Research project,,,,,,,NO,,,,
T29,Appcelerator,https://atom.io/packages/appcelerator-titanium,['W42'],Build tools for atom text editor,,,,,,,NO,,,,
T30,Apple’s iWork,,['S28'],macOS spreadsheet,,,,,,,NO,,,,
T31,ArcStyler,https://www.omg.org/mda/mda_files/ArcStyler5_Whitepaper_220205.pdf,['W14'],,X,,X,,,,Need to confirm,Binaries are not available for download,Yes,Its amodelling tool,
T32,ArchiMate,https://www.archimatetool.com/,"['W85','W62','S49']",,X,,,,,,NO,Yes,Yes,Not collaborative but a modelling tool,
T33,ArgoEclipse,https://modeling-languages.com/argoeclipse/,['S38'],Modelling language,,,,,,,NO,,,,
T34,AspectJ-team,,['W53'],Research project and modelling notations,,,,,,,NO,,,,
T35,Assisi Gui Designer,https://docplayer.net/24066111-V4all-assisi-gui-designer-for-eclipse-manual-version-1-0-seite-1-v4allassisi-gui-designer.html,['S19'],GUI designer,,,,,,,NO,,,,
T36,AtoMPM,https://atompm.readthedocs.io/en/latest/,"['S13' 'S66' 'S71','W33','S16' 'W55' 'S64' 'S50' 'S51' 'W22']",,,,,X,,,NO,Yes,Yes,(meta)modelling workbench and supports collaborative modelling,
T37,Atom,http://atom3.cs.mcgill.ca/#doc,"['S49' 'S49' 'S16','S33']",Similar to AtomPM,,X,X,,,,Need to confirm,Yes,Yes,MSDL but doesn't support collaboration,
T38,Atutor,,['W20'],Not a modelling tool,,,,,,,NO,,,,
T39,BIMSL,https://www.semanticscholar.org/paper/BIMSL%3A-A-generic-approach-to-the-integration-of-Alves-Carreira/5146a8e5c9cae1c1382cf6939c09680757b8c62a,[None],Research project,,,,,,,NO,,,,
T40,BLU AGE(tm),http://www.mdetools.com/detail.php?toolId=53,"['W78','S11']",,,,X,X,,,NO,,,,
T41,BP-MoKi,,['S45'],Wiki-based process,,,,,,,NO,No,No,,
